port,packet_count,byte_count,packet_fraction,byte_fraction
1839,2235,130620,3.331600195657799e-06,8.982482734138268e-07
1864,2235,130620,3.331600195657799e-06,8.982482734138268e-07
2040,2235,130584,3.331600195657799e-06,8.980007084326379e-07
2047,2235,130584,3.331600195657799e-06,8.980007084326379e-07
2105,2235,130584,3.331600195657799e-06,8.980007084326379e-07
2160,2235,130584,3.331600195657799e-06,8.980007084326379e-07
2196,2235,130584,3.331600195657799e-06,8.980007084326379e-07
1947,2234,130536,3.3301095468006814e-06,8.976706217910526e-07
1998,2234,130536,3.3301095468006814e-06,8.976706217910526e-07
2000,2234,130536,3.3301095468006814e-06,8.976706217910526e-07
2003,2234,130536,3.3301095468006814e-06,8.976706217910526e-07
2021,2234,130536,3.3301095468006814e-06,8.976706217910526e-07
2030,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2034,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2038,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2041,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2042,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2100,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2103,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2121,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
2144,2234,130524,3.3301095468006814e-06,8.975881001306563e-07
1658,2233,130500,3.328618897943564e-06,8.974230568098637e-07
1805,2233,130500,3.328618897943564e-06,8.974230568098637e-07
1971,2233,130476,3.328618897943564e-06,8.97258013489071e-07
1984,2233,130476,3.328618897943564e-06,8.97258013489071e-07
2008,2233,130476,3.328618897943564e-06,8.97258013489071e-07
2009,2233,130476,3.328618897943564e-06,8.97258013489071e-07
2010,2233,130476,3.328618897943564e-06,8.97258013489071e-07
2046,2233,130464,3.328618897943564e-06,8.971754918286748e-07
2048,2233,130464,3.328618897943564e-06,8.971754918286748e-07
2068,2233,130464,3.328618897943564e-06,8.971754918286748e-07
1433,2233,130368,3.328618897943564e-06,8.965153185455042e-07
1060,2233,132108,3.328618897943564e-06,9.084809593029691e-07
1038,2233,132228,3.328618897943564e-06,9.093061759069322e-07
2013,2232,130416,3.3271282490864462e-06,8.968454051870896e-07
2020,2232,130416,3.3271282490864462e-06,8.968454051870896e-07
2033,2232,130404,3.3271282490864462e-06,8.967628835266932e-07
1580,2231,130380,3.3256376002293287e-06,8.965978402059006e-07
1875,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
1999,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
2004,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
2005,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
2006,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
2007,2231,130356,3.3256376002293287e-06,8.96432796885108e-07
1718,2231,130284,3.3256376002293287e-06,8.959376669227301e-07
1594,2230,130300,3.324146951372211e-06,8.960476958032585e-07
1782,2230,130296,3.324146951372211e-06,8.960201885831264e-07
1900,2230,130296,3.324146951372211e-06,8.960201885831264e-07
1935,2230,130296,3.324146951372211e-06,8.960201885831264e-07
2001,2230,130296,3.324146951372211e-06,8.960201885831264e-07
1600,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1641,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1687,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1688,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1717,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1719,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
1720,2229,130236,3.3226563025150935e-06,8.956075802811449e-07
